;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;return;volatility_return
225;Tick;226;lvmh;0.2;0.199;0.2;0;0.5455416440963745;421409;0.0;0.08103543494011414
226;Tick;227;lvmh;0.2;0.199;0.2;0;0.5454743504524231;421409;0.0;0.08085679111202275
227;Tick;228;lvmh;0.2;0.199;0.2;0;0.5453976988792419;421409;0.0;0.08067932350091299
228;Tick;229;lvmh;0.2;0.199;0.2;0;0.5453125238418579;421409;0.0;0.08050301925661152
229;Tick;230;lvmh;0.2;0.199;0.2;0;0.5452172756195068;421409;0.0;0.08032786572462053
230;Tick;231;lvmh;0.2;0.199;0.2;0;0.5451143383979797;421409;0.0;0.08015385044230458
231;Tick;232;lvmh;0.2;0.199;0.2;0;0.545002281665802;421409;0.0;0.079980961135169
232;Tick;233;lvmh;0.2;0.199;0.2;0;0.5448822379112244;421409;0.0;0.07980918571322146
233;Tick;234;lvmh;0.2;0.199;0.2;0;0.5447537302970886;421409;0.0;0.07963851226742491
234;Tick;235;lvmh;0.2;0.199;0.2;0;0.5446178317070007;421409;0.0;0.07946892906622627
235;Tick;236;lvmh;0.2;0.199;0.2;0;0.5444742441177368;421409;0.0;0.07930042455217176
236;Tick;237;lvmh;0.2;0.199;0.2;0;0.5443229079246521;421409;0.0;0.0791329873386014
237;Tick;238;lvmh;0.2;0.199;0.2;0;0.5441645383834839;421409;0.0;0.0789666062064147
238;Tick;239;lvmh;0.2;0.199;0.2;0;0.5439993739128113;421409;0.0;0.0788012701009156
239;Tick;240;lvmh;0.2;0.199;0.2;0;0.543826699256897;421409;0.0;0.07863696812872792
240;Tick;241;lvmh;0.2;0.199;0.2;0;0.5436475872993469;421409;0.0;0.07847368955477992
241;Tick;242;lvmh;0.2;0.199;0.2;0;0.5434630513191223;421409;0.0;0.07831142379936207
242;Tick;243;lvmh;0.2;0.199;0.2;0;0.5432703495025635;421409;0.0;0.0781501604352448
243;Tick;244;lvmh;0.2;0.199;0.2;0;0.5430729985237122;421409;0.0;0.07798988918486491
244;Tick;245;lvmh;0.2;0.199;0.2;0;0.5428687334060669;421409;0.0;0.07783059991757878
245;Tick;246;lvmh;0.2;0.199;0.2;0;0.5426590442657471;421409;0.0;0.07767228264696799
246;Tick;247;lvmh;0.2;0.199;0.2;0;0.5424436926841736;421409;0.0;0.07751492752821613
247;Tick;248;lvmh;0.2;0.199;0.2;0;0.5422226786613464;421409;0.0;0.07735852485553091
248;Tick;249;lvmh;0.2;0.199;0.2;0;0.5419965386390686;421409;0.0;0.07720306505963528
249;Tick;250;lvmh;0.2;0.199;0.2;8006;0.5417647957801819;429415;0.0;0.07704853870530856
